start_min,range_min,window_min,sl_mode,sl_mult,tp_r,trend_filter,buffer_mult,direction,min_range_atr,max_range_atr,min_range_pct,max_range_pct,max_bars,symbol,train_trades,train_ret,train_dd,train_pf,train_wr,val_trades,val_ret,val_dd,val_pf,val_wr,all_trades,all_ret,all_dd,all_pf,all_wr,score
810,15,240,range,0.75,1.5,with,0.05,short,0.35,3.5,0,0.025,48,XAUUSD,92,6.807588710496781,9.53308048598151,1.1489396908803697,46.73913043478261,40,27.784290278351786,2.970100000000017,2.9121024808686267,67.5,132,36.48331919712926,9.53308048598151,1.5212031482461787,53.03030303030303,239.0846651832143
810,15,120,range,0.75,1.5,with,0.0,both,0.35,3.5,0,0.025,48,XAUUSD,223,35.57860216344988,9.94907930745975,1.283959719733203,46.63677130044843,114,35.98693076604243,6.376414921140904,1.5755434946479707,51.75438596491229,337,84.36917985757886,9.94907930745975,1.3794808871322675,48.367952522255194,237.19583872074975
810,15,240,range,0.75,1.5,with,0.05,both,0.35,3.5,0,0.025,48,XAUUSD,226,32.28184055521304,11.345511732277522,1.2579699223884673,46.902654867256636,117,37.823040161863396,7.312650771929488,1.5911820199860343,52.13675213675214,343,82.3148542352634,11.345511732277522,1.3670634825968184,48.68804664723032,236.4565654425097
810,15,240,range,1.25,1.5,with,0.05,short,0.35,3.5,0,0.025,48,XAUUSD,92,7.689135198701402,8.479736964556892,1.1896449377953535,48.91304347826087,40,24.596643770913794,2.9701000000000106,2.9338849271032066,67.5,132,34.17704816350371,8.479736964556892,1.565417293886438,54.54545454545454,234.42993128036198
810,15,240,range,1.0,1.5,with,0.05,short,0.35,3.5,0,0.025,48,XAUUSD,92,6.425228629243351,8.53081985245691,1.1509174385775436,46.73913043478261,40,26.509822976045207,2.970100000000001,2.8991050646642336,67.5,132,34.63836834070722,8.53081985245691,1.5310294554108357,53.03030303030303,234.4288494126807
810,15,240,range,0.75,1.5,none,0.05,both,0.35,3.5,0,0.025,48,XAUUSD,442,47.338321768117254,18.508414202155915,1.1771724170034816,45.248868778280546,234,38.3726716131924,16.833802214461972,1.2773816915516563,47.008547008547005,676,103.87597214058562,18.508414202155915,1.211510975195084,45.857988165680474,231.70019064556462
810,30,120,range,1.25,2.0,none,0.05,both,0.35,3.5,0,0.025,48,XAUUSD,364,37.40283743232349,12.402659332378473,1.2295913196466504,47.25274725274725,199,38.951958775274576,7.410786625952236,1.3437569739409103,45.7286432160804,563,90.92393402501968,12.402659332378473,1.275898262282807,46.714031971580816,230.00466067565466
810,15,120,range,1.0,2.0,with,0.05,short,0.35,3.5,0,0.025,48,XAUUSD,89,11.10351269787917,10.53186541873371,1.244321277909101,43.82022471910113,38,25.814712252232486,2.970099999999981,2.716067867822646,60.526315789473685,127,39.78456480295929,10.53186541873371,1.579559792432322,48.818897637795274,229.18512143074528
810,30,120,range,0.75,2.0,with,0.0,both,0.35,3.5,0,0.025,48,XAUUSD,173,22.363157017349454,14.770040335446236,1.246422940866081,41.61849710982659,96,39.47194491585324,4.985988187461617,1.734119236282777,50.0,269,70.66227495253673,14.770040335446236,1.4157948802300635,44.60966542750929,229.02729648411182
810,15,120,range,0.75,1.5,none,0.05,long,0.35,3.5,0,0.025,48,XAUUSD,323,40.506950584739656,15.995864498723602,1.216322235113338,45.82043343653251,170,37.43566189276615,10.705597475302286,1.3848686110345982,49.411764705882355,493,93.10665754147882,15.995864498723602,1.2734123688868038,47.05882352941176,228.07144216894758
810,15,120,range,0.75,1.5,none,0.05,both,0.35,3.5,0,0.025,48,XAUUSD,441,45.16090814592852,18.508414202155894,1.170840126898785,45.12471655328798,234,38.3726716131924,16.833802214461972,1.2773816915516563,47.008547008547005,675,100.86302673949344,18.508414202155894,1.2073485612143953,45.77777777777778,227.46674711890995
420,30,240,range,1.0,2.0,none,0.0,both,0.35,3.5,0,0.025,48,XAUUSD,427,25.92568254532608,19.753930267210055,1.1135727073998054,41.451990632318505,225,47.49241072971442,11.562104190757799,1.3563479156643625,44.44444444444444,652,85.73082491394881,19.753930267210055,1.1935493590030646,42.484662576687114,227.3285600201269
810,15,120,range,1.25,2.0,with,0.05,short,0.35,3.5,0,0.025,48,XAUUSD,89,6.312189979207439,11.956219315183889,1.148308786823148,42.69662921348314,38,25.968948797102055,2.9700999999999915,2.8644402756660012,60.526315789473685,127,33.92034815998575,11.956219315183889,1.517345290343279,48.031496062992126,225.8887675932608
420,30,240,range,1.25,1.5,none,0.05,both,0.35,3.5,0,0.025,48,XAUUSD,426,22.26108985785085,17.106986358792163,1.1134159187404415,46.948356807511736,225,47.1352609142617,9.854537129102624,1.3981506081600061,49.77777777777778,651,79.88917355896868,17.106986358792163,1.2091569444931507,47.926267281105986,224.85010096873384
810,15,240,range,0.75,1.5,with,0.0,both,0.35,3.5,0,0.025,48,XAUUSD,230,35.208803889667514,9.94907930745975,1.273682122810843,46.52173913043478,120,34.1250183495454,7.312650771929483,1.5156756984156363,50.83333333333333,350,81.34883302721741,9.94907930745975,1.3549375090401656,48.0,224.8409374259044
810,15,120,range,0.75,1.5,with,0.05,short,0.35,3.5,0,0.025,48,XAUUSD,89,8.889700292553048,7.769514589707567,1.196573744936256,47.19101123595505,38,24.81593180798074,2.970100000000001,2.7301632032975265,65.78947368421053,127,35.91169406306762,7.769514589707567,1.5312370677086182,52.75590551181102,223.79071132691072
810,30,120,range,0.75,2.0,none,0.0,both,0.35,3.5,0,0.025,48,XAUUSD,367,44.21356029580039,10.822501720134643,1.2060039364011315,42.234332425068125,201,34.948060487996926,10.431094375070945,1.2828575663830055,41.7910447761194,568,94.6134025798707,10.822501720134643,1.234393170909811,42.07746478873239,223.08901890454462
420,30,120,range,0.75,1.5,none,0.0,both,0.35,3.5,0,0.025,48,XAUUSD,422,16.185730362646744,21.90855478505802,1.0759485003464853,41.70616113744076,222,51.50195286657153,9.123167192740297,1.3911915537522273,48.64864864864865,644,76.02365045169917,21.90855478505802,1.1759107741443422,44.099378881987576,220.91607483676833
810,30,240,range,1.25,2.0,none,0.05,both,0.35,3.5,0,0.025,48,XAUUSD,370,35.476743918165155,12.402659332378537,1.2163907634325977,47.2972972972973,204,37.838930016546655,7.410786625952246,1.327071942331022,45.09803921568628,574,86.73969423805588,12.402659332378537,1.2615546241402638,46.51567944250871,220.511111411751
